Timestamp,Photovoltaics,Gas,Pumped Hydro Storage 1,Pumped Hydro Storage 2
2016-01-17 04:00:00,0.00,4500.44,0.00,0.00
2016-01-17 05:00:00,0.00,4471.87,0.00,0.00
2016-01-17 06:00:00,0.00,4527.17,0.00,0.00
2016-01-17 07:00:00,70.74,4864.72,0.00,0.00
2016-01-17 08:00:00,893.00,4905.13,0.00,0.00
2016-01-17 09:00:00,2493.07,4011.97,0.00,0.00
2016-01-17 10:00:00,3478.48,3405.36,0.00,0.00
2016-01-17 11:00:00,3884.45,3150.54,0.00,0.00
2016-01-17 12:00:00,4019.63,3041.17,0.00,0.00
2016-01-17 13:00:00,3987.72,2551.43,0.00,0.00
2016-01-17 14:00:00,3763.95,2918.05,0.00,0.00
2016-01-17 15:00:00,3110.73,3718.74,0.00,0.00
2016-01-17 16:00:00,1651.31,5139.45,0.00,0.00
2016-01-17 17:00:00,361.08,6414.01,0.00,0.00
2016-01-17 18:00:00,15.51,7108.89,0.00,0.00
2016-01-17 19:00:00,0.00,7486.61,0.00,0.00
2016-01-17 20:00:00,0.00,7413.80,0.00,0.00
2016-01-17 21:00:00,0.00,7158.50,0.00,0.00
2016-01-17 22:00:00,0.00,6868.18,0.00,0.00
2016-01-17 23:00:00,0.00,6420.25,0.00,0.00
2016-01-18 00:00:00,0.00,5651.59,0.00,0.00
2016-01-18 01:00:00,0.00,5090.30,0.00,0.00
2016-01-18 02:00:00,0.00,4754.82,0.00,0.00
2016-01-18 03:00:00,0.00,4573.25,0.00,0.00
2016-01-18 04:00:00,0.00,4431.32,0.00,0.00
2016-01-18 05:00:00,0.00,4411.04,0.00,0.00
2016-01-18 06:00:00,0.00,4508.74,0.00,0.00
2016-01-18 07:00:00,67.58,4879.87,0.00,0.00
2016-01-18 08:00:00,849.89,4969.45,0.00,0.00
2016-01-18 09:00:00,2457.82,4129.25,0.00,0.00
2016-01-18 10:00:00,3455.38,3433.07,0.00,0.00
2016-01-18 11:00:00,3865.70,3057.77,0.00,0.00
2016-01-18 12:00:00,3995.06,3000.31,0.00,0.00
2016-01-18 13:00:00,3959.57,2473.59,0.00,0.00
2016-01-18 14:00:00,3727.93,2812.13,0.00,0.00
2016-01-18 15:00:00,3068.02,3654.54,0.00,0.00
2016-01-18 16:00:00,1595.80,5106.48,0.00,0.00
2016-01-18 17:00:00,341.13,6368.52,0.00,0.00
2016-01-18 18:00:00,15.25,7019.74,0.00,0.00
2016-01-18 19:00:00,0.00,7424.86,0.00,0.00
2016-01-18 20:00:00,0.00,7398.13,0.00,0.00
2016-01-18 21:00:00,0.00,7172.32,0.00,0.00
2016-01-18 22:00:00,0.00,6861.72,0.00,0.00
2016-01-18 23:00:00,0.00,6389.84,0.00,0.00
2016-01-19 00:00:00,0.00,5631.31,0.00,0.00
2016-01-19 01:00:00,0.00,5070.03,0.00,0.00
2016-01-19 02:00:00,0.00,4727.17,0.00,0.00
2016-01-19 03:00:00,0.00,4516.11,0.00,0.00
2016-01-19 04:00:00,0.00,4461.73,0.00,0.00
2016-01-19 05:00:00,0.00,4447.91,0.00,0.00
2016-01-19 06:00:00,0.00,4537.31,0.00,0.00
2016-01-19 07:00:00,69.07,4871.00,0.00,0.00
2016-01-19 08:00:00,860.38,4858.49,0.00,0.00
2016-01-19 09:00:00,2418.07,4036.28,0.00,0.00
2016-01-19 10:00:00,3400.73,3374.36,0.00,0.00
2016-01-19 11:00:00,3796.02,3033.45,0.00,0.00
2016-01-19 12:00:00,3907.43,2911.90,0.00,0.00
2016-01-19 13:00:00,3880.99,2407.46,0.00,0.00
2016-01-19 14:00:00,3621.29,2742.74,0.00,0.00
2016-01-19 15:00:00,2969.27,3503.52,0.00,0.00
2016-01-19 16:00:00,1564.79,4806.62,0.00,0.00
